Date, Open, High, Low, Close, Volume
4/1/2022,1081.15,1094.75,1066.64,1084.59,18087740
3/31/2022,1094.57,1103.14,1076.641,1077.6,16330920
3/30/2022,1091.17,1113.95,1084,1093.99,19955000
3/29/2022,1107.99,1114.77,1073.11,1099.57,24538270
3/28/2022,1065.1,1097.88,1053.6,1091.84,34168688
3/25/2022,1008,1021.8,997.3201,1010.64,20677180
3/24/2022,1009.73,1024.49,988.8,1013.92,22973631
3/23/2022,979.94,1040.7,976.4,999.11,40225379
3/22/2022,930,997.86,921.75,993.98,35289520
3/21/2022,914.98,942.85,907.09,921.16,27327221
3/18/2022,874.49,907.85,867.39,905.39,33471398
3/17/2022,830.99,875,825.7178,871.6,22194320
3/16/2022,809,842,802.2601,840.23,28009609
3/15/2022,775.27,805.57,756.57,801.89,22280381
3/14/2022,780.61,800.7,756.04,766.37,23717420
3/11/2022,840.197,843.802,793.77,795.35,22345721
3/10/2022,851.45,854.45,810.3601,838.3,19549551
3/9/2022,839.48,860.56,832.01,858.97,19727990
3/8/2022,795.53,849.99,782.17,824.4,26799699
3/7/2022,856.3,866.14,804.57,804.58,24164721
3/4/2022,849.1,855.65,825.1609,838.29,22393289
3/3/2022,878.77,886.439,832.6001,839.29,20541170
3/2/2022,872.13,886.48,844.2721,879.89,24881150
3/1/2022,869.68,889.88,853.78,864.37,24922289
2/28/2022,815.01,876.86,814.7075,870.43,33002289
2/25/2022,809.23,819.5,782.4005,809.87,25355920
2/24/2022,700.39,802.48,700,800.77,45107434
2/23/2022,830.43,835.2997,760.56,764.04,31752340
2/22/2022,834.13,856.7338,801.1001,821.53,27762730
2/18/2022,886,886.87,837.61,856.98,22833949
2/17/2022,913.26,918.4999,874.1,876.35,18392811
2/16/2022,914.05,926.4299,901.21,923.39,17098131
2/15/2022,900,923,893.3774,922.43,19216510
2/14/2022,861.57,898.8799,853.15,875.76,22585471
2/11/2022,909.63,915.96,850.7,860,26548619
2/10/2022,908.37,943.81,896.7,904.55,22042279
2/9/2022,935,946.2699,920,932,17419850
2/8/2022,905.53,926.2899,894.8,922,16909670
2/7/2022,923.79,947.77,902.7089,907.34,20331490
2/4/2022,897.22,936.5,881.17,923.32,24541820
2/3/2022,882,937,880.52,891.14,26285189
2/2/2022,928.18,931.5,889.41,905.66,22264350
2/1/2022,935.21,943.7,905,931.25,24379449
1/31/2022,872.71,937.99,862.05,936.72,34812031
1/28/2022,831.56,857.5,792.01,846.35,44929648
1/27/2022,933.36,935.39,829,829.1,49036520
1/26/2022,952.43,987.69,906,937.41,34955762
1/25/2022,914.2,951.26,903.21,918.4,28865301
1/24/2022,904.76,933.5131,851.47,930,50791711
1/21/2022,996.34,1004.55,940.5,943.9,34472008
1/20/2022,1009.73,1041.66,994,996.27,23496250
1/19/2022,1041.705,1054.67,995,995.65,25147500
1/18/2022,1026.605,1070.79,1016.06,1030.51,22329801
1/14/2022,1019.88,1052,1013.379,1049.61,24308141
1/13/2022,1109.065,1115.6,1026.539,1031.56,32403260
1/12/2022,1078.85,1114.84,1072.59,1106.22,27913010
1/11/2022,1053.67,1075.85,1038.82,1064.4,22021070
1/10/2022,1000,1059.1,980,1058.12,30604961
1/7/2022,1080.37,1080.93,1010,1026.96,28054920
1/6/2022,1077,1088,1020.5,1064.7,30112160
1/5/2022,1146.65,1170.34,1081.01,1088.12,26706600
1/4/2022,1189.55,1208,1123.05,1149.59,33416090
1/3/2022,1147.75,1201.07,1136.04,1199.78,34895352
12/31/2021,1073.444,1082,1054.59,1056.78,13577880
12/30/2021,1061.33,1095.55,1053.15,1070.34,15680310
12/29/2021,1098.64,1104,1064.14,1086.19,18718020
12/28/2021,1109.49,1119,1078.42,1088.47,20107971
12/27/2021,1073.67,1117,1070.715,1093.94,23715270
12/23/2021,1006.8,1072.977,997.56,1067,30904430
12/22/2021,965.66,1015.66,957.05,1008.87,31211359
12/21/2021,916.87,939.5,886.12,938.53,23839311
12/20/2021,910.7,921.6884,893.39,899.94,18826670
12/17/2021,914.77,960.6599,909.0401,932.57,33626754
12/16/2021,994.5,994.98,921.85,926.92,27590480
12/15/2021,953.21,978.7499,928.2501,975.99,25056410
12/14/2021,945,966.41,930,958.51,23602090
12/13/2021,1001.09,1005,951.42,966.41,26198500
12/10/2021,1008.75,1020.98,982.53,1017.03,19888119
12/9/2021,1060.64,1062.49,1002.36,1003.8,19812830
12/8/2021,1052.71,1072.38,1033,1068.96,13968790
12/7/2021,1044.2,1057.674,1026.81,1051.75,18694859
12/6/2021,1001.51,1021.64,950.5,1009.01,27221039
12/3/2021,1084.79,1090.575,1000.21,1014.97,30774000
12/2/2021,1099.06,1113,1056.65,1084.6,24371619
12/1/2021,1160.695,1172.84,1090.76,1095,22934699
11/30/2021,1144.37,1168,1118,1144.76,27092039
11/29/2021,1100.99,1142.67,1100.19,1136.99,19464471
11/26/2021,1099.47,1108.783,1081,1081.92,11680890
11/24/2021,1080.39,1132.77,1062,1116,22560240
